age,nb_payements,interest_rate,amount,target
30,40,0.025,8000,109.09860450051849
40,1,0,500,499.9948116095424
40,1,0,1000,999.9896232190848
40,1,0,2000,1999.9792464381696
40,1,0,4000,3999.9584928763393
40,1,0,8000,7999.916985752679
40,1,0.005,500,414.64243148056147
40,1,0.005,1000,829.2848629611229
40,1,0.005,2000,1658.5697259222459
40,1,0.005,4000,3317.1394518444918
40,1,0.005,8000,6634.2789036889835
40,1,0.01,500,345.6239197328392
40,1,0.01,1000,691.2478394656785
40,1,0.01,2000,1382.495678931357
40,1,0.01,4000,2764.991357862714
40,1,0.01,8000,5529.982715725428
40,1,0.015,500,289.5993666740635
40,1,0.015,1000,579.198733348127
40,1,0.015,2000,1158.397466696254
40,1,0.015,4000,2316.794933392508
40,1,0.015,8000,4633.589866785016
40,1,0.02,500,243.94567482804788
40,1,0.02,1000,487.89134965609577
40,1,0.02,2000,975.7826993121915
40,1,0.02,4000,1951.565398624383
40,1,0.02,8000,3903.130797248766
40,1,0.025,500,206.59659469425617
40,1,0.025,1000,413.19318938851234
40,1,0.025,2000,826.3863787770247
40,1,0.025,4000,1652.7727575540493
40,1,0.025,8000,3305.5455151080987
40,5,0,500,100.53035898334646
40,5,0,1000,201.06071796669292
40,5,0,2000,402.12143593338584
40,5,0,4000,804.2428718667717
40,5,0,8000,1608.4857437335434
40,5,0.005,500,84.200501041773
40,5,0.005,1000,168.401002083546
40,5,0.005,2000,336.802004167092
40,5,0.005,4000,673.604008334184
40,5,0.005,8000,1347.208016668368
40,5,0.01,500,70.87794161172638
40,5,0.01,1000,141.75588322345277
40,5,0.01,2000,283.51176644690554
40,5,0.01,4000,567.0235328938111
40,5,0.01,8000,1134.0470657876222
40,5,0.015,500,59.96930159790606
40,5,0.015,1000,119.93860319581212
40,5,0.015,2000,239.87720639162424
40,5,0.015,4000,479.7544127832485
40,5,0.015,8000,959.508825566497
40,5,0.02,500,51.00430256964913
40,5,0.02,1000,102.00860513929825
40,5,0.02,2000,204.0172102785965
40,5,0.02,4000,408.034420557193
40,5,0.02,8000,816.068841114386
40,5,0.025,500,43.609178289547025
40,5,0.025,1000,87.21835657909405
40,5,0.025,2000,174.4367131581881
40,5,0.025,4000,348.8734263163762
40,5,0.025,8000,697.7468526327524
40,10,0,500,50.72250942941386
40,10,0,1000,101.44501885882772
40,10,0,2000,202.89003771765545
40,10,0,4000,405.7800754353109
40,10,0,8000,811.5601508706218
40,10,0.005,500,43.007739981416634
40,10,0.005,1000,86.01547996283327
40,10,0.005,2000,172.03095992566654
40,10,0.005,4000,344.0619198513331
40,10,0.005,8000,688.1238397026661
40,10,0.01,500,36.64191419672753
40,10,0.01,1000,73.28382839345505
40,10,0.01,2000,146.5676567869101
40,10,0.01,4000,293.1353135738202
40,10,0.01,8000,586.2706271476404
40,10,0.015,500,31.371777063166412
40,10,0.015,1000,62.743554126332825
40,10,0.015,2000,125.48710825266565
40,10,0.015,4000,250.9742165053313
40,10,0.015,8000,501.9484330106626
40,10,0.02,500,26.99412593182242
40,10,0.02,1000,53.98825186364484
40,10,0.02,2000,107.97650372728968
40,10,0.02,4000,215.95300745457936
40,10,0.02,8000,431.9060149091587
40,10,0.025,500,23.345502806991487
40,10,0.025,1000,46.69100561398297
40,10,0.025,2000,93.38201122796595
40,10,0.025,4000,186.7640224559319
40,10,0.025,8000,373.5280449118638
40,20,0,500,26.06785193953496
40,20,0,1000,52.13570387906992
40,20,0,2000,104.27140775813984
40,20,0,4000,208.5428155162797
40,20,0,8000,417.0856310325594
40,20,0.005,500,22.636544741692756
40,20,0.005,1000,45.27308948338551
40,20,0.005,2000,90.54617896677102
40,20,0.005,4000,181.09235793354205
40,20,0.005,8000,362.1847158670841
40,20,0.01,500,19.737120824910875
40,20,0.01,1000,39.47424164982175
40,20,0.01,2000,78.9484832996435
40,20,0.01,4000,157.896966599287
40,20,0.01,8000,315.793933198574
40,20,0.015,500,17.28125634180768
40,20,0.015,1000,34.56251268361536
40,20,0.015,2000,69.12502536723072
40,20,0.015,4000,138.25005073446144
40,20,0.015,8000,276.5001014689229
40,20,0.02,500,15.19602195436287
40,20,0.02,1000,30.39204390872574
40,20,0.02,2000,60.78408781745148
40,20,0.02,4000,121.56817563490296
40,20,0.02,8000,243.1363512698059
40,20,0.025,500,13.421093653935909
40,20,0.025,1000,26.842187307871818
40,20,0.025,2000,53.684374615743636
40,20,0.025,4000,107.36874923148727
40,20,0.025,8000,214.73749846297454
40,30,0,500,18.179245763527188
40,30,0,1000,36.358491527054376
40,30,0,2000,72.71698305410875
40,30,0,4000,145.4339661082175
