age,nb_payements,maturity,interest_rate,amount,target
20,10,30,0.025,4000,200.18122090572564
20,10,30,0.025,8000,400.3624418114513
20,10,40,0,500,43.43979735068934
20,10,40,0,1000,86.87959470137868
20,10,40,0,2000,173.75918940275736
20,10,40,0,4000,347.5183788055147
20,10,40,0,8000,695.0367576110294
20,10,40,0.005,500,36.3855669035575
20,10,40,0.005,1000,72.771133807115
20,10,40,0.005,2000,145.54226761423
20,10,40,0.005,4000,291.08453522846
20,10,40,0.005,8000,582.16907045692
20,10,40,0.01,500,30.4974821997879
20,10,40,0.01,1000,60.9949643995758
20,10,40,0.01,2000,121.9899287991516
20,10,40,0.01,4000,243.9798575983032
20,10,40,0.01,8000,487.9597151966064
20,10,40,0.015,500,25.579372537383765
20,10,40,0.015,1000,51.15874507476753
20,10,40,0.015,2000,102.31749014953506
20,10,40,0.015,4000,204.63498029907012
20,10,40,0.015,8000,409.26996059814024
20,10,40,0.02,500,21.46863706013514
20,10,40,0.02,1000,42.93727412027028
20,10,40,0.02,2000,85.87454824054056
20,10,40,0.02,4000,171.74909648108112
20,10,40,0.02,8000,343.49819296216225
20,10,40,0.025,500,18.03040263180811
20,10,40,0.025,1000,36.06080526361622
20,10,40,0.025,2000,72.12161052723243
20,10,40,0.025,4000,144.24322105446487
20,10,40,0.025,8000,288.48644210892974
20,20,20,0,500,24.61712400957004
20,20,20,0,1000,49.23424801914008
20,20,20,0,2000,98.46849603828016
20,20,20,0,4000,196.93699207656033
20,20,20,0,8000,393.87398415312066
20,20,20,0.005,500,23.346760998001283
20,20,20,0.005,1000,46.693521996002566
20,20,20,0.005,2000,93.38704399200513
20,20,20,0.005,4000,186.77408798401027
20,20,20,0.005,8000,373.54817596802053
20,20,20,0.01,500,22.129628000128825
20,20,20,0.01,1000,44.25925600025765
20,20,20,0.01,2000,88.5185120005153
20,20,20,0.01,4000,177.0370240010306
20,20,20,0.01,8000,354.0740480020612
20,20,20,0.015,500,20.964499032413997
20,20,20,0.015,1000,41.928998064827994
20,20,20,0.015,2000,83.85799612965599
20,20,20,0.015,4000,167.71599225931197
20,20,20,0.015,8000,335.43198451862395
20,20,20,0.02,500,19.85010247509716
20,20,20,0.02,1000,39.70020495019432
20,20,20,0.02,2000,79.40040990038864
20,20,20,0.02,4000,158.80081980077728
20,20,20,0.02,8000,317.60163960155455
20,20,20,0.025,500,18.78512626946385
20,20,20,0.025,1000,37.5702525389277
20,20,20,0.025,2000,75.1405050778554
20,20,20,0.025,4000,150.2810101557108
20,20,20,0.025,8000,300.5620203114216
20,20,30,0,500,23.689086865604988
20,20,30,0,1000,47.378173731209976
20,20,30,0,2000,94.75634746241995
20,20,30,0,4000,189.5126949248399
20,20,30,0,8000,379.0253898496798
20,20,30,0.005,500,21.373567983524524
20,20,30,0.005,1000,42.74713596704905
20,20,30,0.005,2000,85.4942719340981
20,20,30,0.005,4000,170.9885438681962
20,20,30,0.005,8000,341.9770877363924
20,20,30,0.01,500,19.278417562833397
20,20,30,0.01,1000,38.556835125666794
20,20,30,0.01,2000,77.11367025133359
20,20,30,0.01,4000,154.22734050266718
20,20,30,0.01,8000,308.45468100533435
20,20,30,0.015,500,17.383414005365573
20,20,30,0.015,1000,34.766828010731146
20,20,30,0.015,2000,69.53365602146229
20,20,30,0.015,4000,139.06731204292458
20,20,30,0.015,8000,278.13462408584917
20,20,30,0.02,500,15.670109907033426
20,20,30,0.02,1000,31.340219814066852
20,20,30,0.02,2000,62.680439628133705
20,20,30,0.02,4000,125.36087925626741
20,20,30,0.02,8000,250.72175851253482
20,20,30,0.025,500,14.121683436203906
20,20,30,0.025,1000,28.24336687240781
20,20,30,0.025,2000,56.48673374481562
20,20,30,0.025,4000,112.97346748963125
20,20,30,0.025,8000,225.9469349792625
20,20,40,0,500,21.85038293985205
20,20,40,0,1000,43.7007658797041
20,20,40,0,2000,87.4015317594082
20,20,40,0,4000,174.8030635188164
20,20,40,0,8000,349.6061270376328
20,20,40,0.005,500,18.755435007844415
20,20,40,0.005,1000,37.51087001568883
20,20,40,0.005,2000,75.02174003137766
20,20,40,0.005,4000,150.04348006275532
